// Old Blue Box Obtainable Items Database
//
// Structure of Database:
// GroupID,ItemID,Rate

1,501,12	//红色药水//Red Potion
1,502,12	//赤色药水//Orange Potion
1,503,12	//黄色药水//Yellow Potion
1,504,12	//白色药水//White Potion
1,505,12	//蓝色药水//Blue Potion
1,506,12	//绿色药水//Green Potion
1,507,12	//红色药草//Red Herb
1,508,12	//黄色药草//Yellow Herb
1,509,12	//白色药草//White Herb
1,510,12	//蓝色药草//Blue Herb
1,511,12	//绿色药草//Green Herb
1,512,12	//苹果//Apple
1,513,12	//香蕉//Banana
1,514,12	//葡萄//Grape
1,515,12	//红萝卜//Carrot
1,516,12	//蕃薯//Potato
1,517,12	//肉//Meat
1,518,12	//蜂蜜//Honey
1,519,12	//牛奶//Milk
1,520,12	//西纳雷叶子//Hinalle Leaflet
1,521,12	//芦荟叶子//Aloe Leaflet
1,522,12	//玛丝黛拉果实//Mastela Fruit
1,523,12	//圣水//Holy Water
1,525,12	//万能药//Panacea
1,526,12	//蜂胶//Royal Jelly
1,528,12	//魔物饲料//Monster Food
1,529,12	//糖果//Candy
1,530,12	//柺杖糖//Candy Cane
1,531,12	//苹果汁//Apple Juice
1,532,12	//香蕉汁//Banana Juice
1,533,12	//葡萄汁//Grape Juice
1,534,12	//红萝卜汁//Carrot Juice
1,535,12	//南瓜//Pumpkin
1,536,12	//霜淇淋//Ice Cream
1,537,12	//宠物饲料//Pet Food
1,538,12	//姜饼//Well-baked Cookie
1,539,12	//小蛋糕//Piece of Cake
1,544,12	//生鱼片//Raw Fish
1,545,12	//红色纤细药水//Condensed Red Potion
1,546,12	//黄色纤细药水//Condensed Yellow Potion
1,547,12	//白色纤细药水//Condensed White Potion
1,548,12	//起士//Cheese
1,549,12	//美味蕃薯//Yam
1,550,12	//仙贝//Rice Cake
1,551,12	//明虾寿司//Sushi
1,553,12	//包子//Bao
1,555,12	//糕饼//Traditional Rice Cake
1,558,12	//巧克力//Chocolate
1,561,12	//白色情人巧克力//White Chocolate
1,601,12	//苍蝇翅膀//Fly Wing
1,602,12	//蝴蝶翅膀//Butterfly Wing
1,603,1173	//神秘箱子//Old Blue Box
1,604,512	//枯树枝//Dead Branch
1,605,12	//曼特疗伤药//Anodyne
1,606,12	//芦荟汁液//Aloevera
1,607,12	//天地树果实//Yggdrasil Berry
1,608,12	//天地树芽//Yggdrasil Seed
1,609,12	//返魂符//Amulet
1,610,12	//天地树叶子//Yggdrasil Leaf
1,611,12	//放大镜//Magnifier
1,612,12	//携带用熔矿炉//Mini Furnace
1,613,12	//钢铁锤子//Iron Hammer
1,614,12	//黄金锤子//Golden Hammer
