// 经验和掉率的等级惩罚DB
//
// DB结构:
//	类型,Boss级魔物,等级差,倍率
//
// 类型:
//	1=经验, 0=掉落
//
// 说明：
// 	等级差大于零且未列明时，寻找最近的小于该等级差的数值的倍率，如果没有，使用等级差为0时的倍率。
// 	等级差小于零且未列明时，寻找最近的大于该等级差的数值的倍率，如果没有，使用等级差为0时的倍率。
1,0,16,40
1,0,15,115
1,0,14,120
1,0,13,125
1,0,12,130
1,0,11,135
1,0,10,140
1,0,9,135
1,0,8,130
1,0,7,125
1,0,6,120
1,0,5,115
1,0,4,110
1,0,3,105
1,0,-6,95
1,0,-11,90
1,0,-16,85
1,0,-21,60
1,0,-26,35
1,0,-31,10
0,0,16,50
0,0,13,60
0,0,10,70
0,0,7,80
0,0,4,90
0,0,-4,90
0,0,-7,80
0,0,-10,70
0,0,-13,60
0,0,-16,50
