//JobNo,Skill-ID,MaxLV,Prerequisite Skill-ID-1,Prerequisite Skill-ID-1-Lv,PrereqSkill-ID-2,PrereqSkill-ID-2-Lv,PrereqSkill-ID-3,PrereqSkill-ID-3-Lv,PrereqSkill-ID-4,PrereqSkill-ID-4-Lv,PrereqSkill-ID-5,PrereqSkill-ID-5-Lv//CLASS_SKILLNAME#Skill Name#
//初学者
0,1,9,0,0,0,0,0,0,0,0,0,0 //NV_BASIC#基本技能#
0,142,1,0,0,0,0,0,0,0,0,0,0 //NV_FIRSTAID#紧急治疗#
0,143,1,0,0,0,0,0,0,0,0,0,0 //NV_TRICKDEAD#装死#
0,410,1,0,0,0,0,0,0,0,0,0,0 //WE_CALLBABY#宝贝请来这里#
0,681,1,0,0,0,0,0,0,0,0,0,0 //ALL_INCCARRY#负重量上升 R#
//剑士
1,1,9,0,0,0,0,0,0,0,0,0,0 //NV_BASIC#基本技能#
1,142,1,0,0,0,0,0,0,0,0,0,0 //NV_FIRSTAID#紧急治疗#
1,2,10,0,0,0,0,0,0,0,0,0,0 //SM_SWORD#单手剑使用熟练度#
1,3,10,2,1,0,0,0,0,0,0,0,0 //SM_TWOHAND#双手剑使用熟练度#
1,4,10,0,0,0,0,0,0,0,0,0,0 //SM_RECOVERY#快速回复#
1,5,10,0,0,0,0,0,0,0,0,0,0 //SM_BASH#狂击#
1,6,10,0,0,0,0,0,0,0,0,0,0 //SM_PROVOKE#挑衅#
1,7,10,5,5,0,0,0,0,0,0,0,0 //SM_MAGNUM#怒爆#
1,8,10,6,5,0,0,0,0,0,0,0,0 //SM_ENDURE#霸体#
1,144,1,0,0,0,0,0,0,0,0,0,0 //SM_MOVINGRECOVERY#移动时恢复HP#
1,145,1,0,0,0,0,0,0,0,0,0,0 //SM_FATALBLOW#攻击弱点#
1,146,1,0,0,0,0,0,0,0,0,0,0 //SM_AUTOBERSERK#狂暴状态#
1,410,1,0,0,0,0,0,0,0,0,0,0 //WE_CALLBABY#宝贝请来这里#
1,681,1,0,0,0,0,0,0,0,0,0,0 //ALL_INCCARRY#负重量上升 R#
//魔法师
2,1,9,0,0,0,0,0,0,0,0,0,0 //NV_BASIC#基本技能#
2,142,1,0,0,0,0,0,0,0,0,0,0 //NV_FIRSTAID#紧急治疗#
2,9,10,0,0,0,0,0,0,0,0,0,0 //MG_SRECOVERY#禅心#
2,10,1,0,0,0,0,0,0,0,0,0,0 //MG_SIGHT#火狩#
2,11,10,0,0,0,0,0,0,0,0,0,0 //MG_NAPALMBEAT#心灵爆破#
2,12,10,11,7,13,5,0,0,0,0,0,0 //MG_SAFETYWALL#暗之障壁#
2,13,10,11,4,0,0,0,0,0,0,0,0 //MG_SOULSTRIKE#圣灵召唤#
2,14,10,0,0,0,0,0,0,0,0,0,0 //MG_COLDBOLT#冰箭术#
2,15,10,14,5,0,0,0,0,0,0,0,0 //MG_FROSTDIVER#冰冻术#
2,16,10,0,0,0,0,0,0,0,0,0,0 //MG_STONECURSE#石化术#
2,17,10,19,4,0,0,0,0,0,0,0,0 //MG_FIREBALL#火球术#
2,18,10,17,5,10,1,0,0,0,0,0,0 //MG_FIREWALL#火焰之壁#
2,19,10,0,0,0,0,0,0,0,0,0,0 //MG_FIREBOLT#火箭术#
2,20,10,0,0,0,0,0,0,0,0,0,0 //MG_LIGHTNINGBOLT#雷击术#
2,21,10,20,4,0,0,0,0,0,0,0,0 //MG_THUNDERSTORM#雷爆术#
2,157,1,0,0,0,0,0,0,0,0,0,0 //MG_ENERGYCOAT#能量外套#
2,410,1,0,0,0,0,0,0,0,0,0,0 //WE_CALLBABY#宝贝请来这里#
2,681,1,0,0,0,0,0,0,0,0,0,0 //ALL_INCCARRY#负重量上升 R#
//弓箭手
3,1,9,0,0,0,0,0,0,0,0,0,0 //NV_BASIC#基本技能#
3,142,1,0,0,0,0,0,0,0,0,0,0 //NV_FIRSTAID#紧急治疗#
