// Attribute correction (renewal settings)
// Column titles are monster element (armor)
// Rows titles are weapon element (atk)
// Negative SHOULD be healing

// Side:Attribute of monster                         // Length:Attribute of attack
1,10	// lv1 Attribute table
//Netr Watr Erth Fire Wind Pois Hly  Shdw Sens Imor
  100, 100, 100, 100, 100, 100, 100, 100,  70, 100,  // Neutral
  100,  25, 100, 150,  90, 100,  75, 100, 100, 100,  // Water
  100, 100,  25,  90, 150, 100,  75, 100, 100, 100,  // Earth
  100,  90, 150,  25, 100, 100,  75, 100, 100, 125,  // Fire
  100, 175,  90, 100,  25, 100,  75, 100, 100, 100,  // Wind
  100, 100, 125, 125, 125,   0,  75,  50, 100, -25,  // Poison
  100, 100, 100, 100, 100, 100,   0, 125, 100, 150,  // Holy
  100, 100, 100, 100, 100,  50, 125,   0, 100, -25,  // Shadow
   70, 100, 100, 100, 100, 100,  75,  75, 125, 100,  // Sense
  100, 100, 100, 100, 100,  50, 100,   0, 100,   0,  // Immortality
// Side:Attribute of monster                         // Length:Attribute of attack
2,10	// lv2 Attribute table
//Netr Watr Erth Fire Wind Pois Hly  Shdw Sens Imor
  100, 100, 100, 100, 100, 100, 100, 100,  50, 100,  // Neutral
  100,   0, 100, 175,  80, 100,  50,  75, 100, 100,  // Water
  100, 100,   0,  80, 175, 100,  50,  75, 100, 100,  // Earth
  100,  80, 175,   0, 100, 100,  50,  75, 100, 150,  // Fire
  100, 175,  80, 100,   0, 100,  50,  75, 100, 100,  // Wind
  100,  75, 125, 125, 125,   0,  50,  25,  75, -50,  // Poison
  100, 100, 100, 100, 100, 100, -25, 150, 100, 175,  // Holy
  100, 100, 100, 100, 100,  25, 150, -25, 100, -50,  // Shadow
   50,  75,  75,  75,  75,  75,  50,  50, 150, 125,  // Sense
  100,  75,  75,  75,  75,  25, 125,   0, 100,   0,  // Immortality
// Side:Attribute of monster                         // Length:Attribute of attack
3,10	// lv3 Attribute table
//Netr Watr Erth Fire Wind Pois Hly  Shdw Sens Imor
  100, 100, 100, 100, 100, 100, 100, 100,   0, 100,  // Neutral
  100, -25, 100, 200,  70, 100,  25,  50, 100, 125,  // Water
  100, 100, -25,  70, 200, 100,  25,  50, 100,  75,  // Earth
  100,  70, 200, -25, 100, 100,  25,  50, 100, 175,  // Fire
  100, 200,  70, 100, -25, 100,  25,  50, 100, 100,  // Wind
  100,  50, 100, 100, 100,   0,  25,   0,  50, -75,  // Poison
  100, 100, 100, 100, 100, 125, -50, 175, 100, 200,  // Holy
  100, 100, 100, 100, 100,   0, 175, -50, 100, -75,  // Shadow
    0,  50,  50,  50,  50,  50,  25,  25, 175, 150,  // Sense
  100,  50,  50,  50,  50,   0, 150,   0, 100,   0,  // Immortality
// Side:Attribute of monster                         // Length:Attribute of attack
4,10	// lv4 Attribute table
//Netr Watr Erth Fire Wind Pois Hly  Shdw Sens Imor
  100, 100, 100, 100, 100, 100, 100, 100,   0, 100,  // Neutral
  100, -50, 100, 200,  60,  75,   0,  25, 100, 150,  // Water
  100, 100, -50,  60, 200,  75,   0,  25, 100,  50,  // Earth
  100,  60, 200, -50, 100,  75,   0,  25, 100, 200,  // Fire
  100, 200,  60, 100, -50,  75,   0,  25, 100, 100,  // Wind
  100,  25,  75,  75,  75,   0,   0, -25,  25,-100,  // Poison
  100,  75,  75,  75,  75, 125,-100, 200, 100, 200,  // Holy
  100,  75,  75,  75,  75, -25, 200,-100, 100,-100,  // Shadow
    0,  25,  25,  25,  25,  25,   0,   0, 200, 175,  // Sense
  100,  25,  25,  25,  25, -25, 175,   0, 100,   0,  // Immortality
