//本系统用于定义每一种状态在特定的条件下的进行清除、保留。
//主要目的为开发各种药水、卷轴、消费品，也可以对触发状态的技能进行修正
//请仔细理解本系统!(商品价值的来源之一)

//是否在"条件"下保留状态.仅对玩家有效
//状态ID,
//死亡时			"保留"	&1	此设置覆盖源码设置
//离线时			"清除"	&2	此设置"不"覆盖源码设置,因为已有(de)buff_on_logout设置
//被圣音清除DEBUFF时		"保留"	&4	此设置覆盖源码设置	
//被Dispel时			"保留"	&8	此设置覆盖源码设置
//被Clearance时			"保留"	&16	此设置覆盖源码设置
//被塔罗牌/手杖/圣音清除BUFF时	"保留"	&32	此设置覆盖源码设置

28,4
31,4
33,4
52,28	//SC_HALLUCINATION
55,16	//SC_ASPDPOTION
56,16
57,16
59,24
60,25	//SC_STRIPWEAPON
64,4
65,60
68,28
69,28
70,28
71,28
72,60	//SC_CP_WEAPON
73,60
74,60
75,60
83,24 
85,24
93,56	//SC_COMBO
95,36
89,60
112,32
117,60
119,25	//SC_EDP
122,25
123,24
130,4
133,24
137,4
138,25	//SC_READYSTORM
139,25	//SC_READYDOWN
140,25
141,25
142,25
161,4
164,60
166,24
167,24
168,24
169,24
170,24
171,24
172,24
173,24
174,24
175,24
176,24
178,24
179,24
181,24
180,24
182,4
195,24
200,24
203,60	//SC_STRFOOD
204,60
205,60
206,60
207,60
208,60
209,60
210,60
211,60
212,60
213,60
216,24
220,1	//SC_FUSION
226,1	//SC_EARTHSCROLL
237,24
239,60
253,24
257,25	//SC_EXPBOOST
258,25	//SC_ITEMBOOST
260,24
268,60
292,25	//SC_JEXPBOOST
292,24
294,25	//SC_HELLPOWER
295,24
296,24
312,1	//SC_POISONINGWEAPON
336,36
337,36
350,36
351,36
353,60
357,60
358,60
359,60
360,60
363,60
366,28
367,24
368,24
369,24
370,24
371,24
372,24
373,36
375,36
388,36
389,36
420,24
425,24
426,24
427,24
428,24
429,24
430,24
431,24
439,60
443,61	//SC_FOOD_STR_CASH
444,61
445,61
446,61
447,61
448,61	//SC_FOOD_LUK_CASH
