// Bloody Branch Summonable Monsters Database
//
// Structure of Database:
// MobID,DummyName,Rate

0,Baphomet,1039
1038,俄塞里斯,1000000
1039,巴风特,1000000
1046,死灵,1000000
1059,蜂后,1000000
1086,黄金虫,1000000
1087,兽人英雄,1000000
1096,天使波利,1000000
1112,海盗之王,1000000
1115,虎王,1000000
1120,幽灵波利,1000000
1147,蚁后,1000000
1150,月夜猫,1000000
1157,法老王,1000000
1159,皮里恩,1000000
1190,兽人酋长,1000000
1251,冰暴骑士,1000000
1252,卡仑,1000000
1272,黑暗之王,1000000
1312,乌龟将军,1000000
1373,死灵骑士,1000000
1388,圣天使波利,1000000
1389,德古拉男爵,1000000
1418,墨蛇君,1000000
1492,元灵武士,1000000
1511,古埃及王,1000000
1582,恶魔波利,1000000
1583,塔奥群卡,1000000
1623,RSX-0806,1000000
1630,白素贞,1000000
1658,闇●剑士 赛尼亚,1000000
1685,贝思波,1000000
1688,嗒妮小姐,1000000
1708,魔剑士 达纳托斯的记忆,1000000
1719,迪塔勒泰晤勒斯,1000000
1734,齐尔-D-01,1000000
1751,兰特克力斯,1000000
1768,幽暗梦魇,1000000
1779,水晶龙,1000000
1785,阿特罗斯,1000000
